TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,POSTSEASON_WINS
Texas Southern,SWAC,35,22,101.9,108.1,0.3371,49.5,49.3,19.7,18.7,33.8,34.6,46.8,33.1,50.0,48.5,32.2,34.4,63.7,-4.5,R64,15,2015,0
Texas Southern,SWAC,35,23,100.6,106.5,0.3437,48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,50.0,49.3,29.6,32.5,70.0,-4.4,R64,16,2017,0
Texas Southern,SWAC,36,16,104.1,112.4,0.293,50.5,51.2,17.2,16.2,28.5,32.5,42.9,31.2,48.5,49.4,35.9,36.6,72.6,-10.9,R64,16,2018,0
New Mexico St.,WAC,32,21,103.9,98.1,0.6613,50.6,46.4,21.8,20.6,39.3,31.0,44.3,32.5,49.3,46.4,36.2,30.8,64.0,-4.5,R64,15,2015,0
Cal St. Bakersfield,WAC,30,21,103.4,95.7,0.7106,49.3,45.2,18.2,21.5,34.1,29.7,38.0,42.1,48.5,42.8,34.3,33.4,68.4,-3.5,R64,15,2016,0
New Mexico St.,WAC,31,28,109.4,102.5,0.6783,52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,54.2,49.1,33.5,30.3,69.1,-0.2,R64,14,2017,0
New Mexico St.,WAC,31,28,106.8,95.0,0.7927,51.6,46.0,17.4,19.0,33.8,22.5,29.1,33.0,52.0,45.7,34.0,31.1,69.4,1.3,R64,12,2018,0
New Mexico St.,WAC,33,30,111.8,98.2,0.8155,54.1,48.9,17.8,19.1,37.0,22.5,34.6,32.5,56.7,48.0,34.0,33.5,67.1,1.4,R64,12,2019,0
Saint Mary's,WCC,34,22,113.1,96.3,0.8637,53.8,48.9,16.2,16.3,31.2,23.0,29.1,29.1,52.3,49.2,37.8,32.1,64.1,-0.8,R64,11,2019,0
Duke,ACC,35,26,125.9,98.6,0.9432,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,50.3,50.3,39.5,30.7,66.7,6.5,R64,3,2014,0
Cincinnati,Amer,34,27,108.7,91.5,0.8783,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36.0,46.6,43.2,33.5,32.0,63.5,5.3,R64,5,2014,0
Oklahoma,B12,33,23,118.2,99.4,0.8793,51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,48.7,48.8,37.9,34.2,71.6,4.1,R64,5,2014,0
VCU,A10,35,26,108.3,89.8,0.8955,47.9,47.8,17.2,25.6,34.9,30.8,35.2,39.7,45.6,48.8,34.9,30.3,70.8,3.6,R64,5,2014,0
Massachusetts,A10,33,24,109.0,96.9,0.7952,50.4,46.6,18.8,18.7,34.3,31.7,39.2,37.2,49.9,46.8,34.6,30.8,71.8,3.6,R64,6,2014,0
Ohio St.,B10,35,25,108.4,88.5,0.9107,50.3,45.2,17.2,21.9,29.6,29.6,42.3,29.8,51.1,45.9,32.4,29.3,65.4,4.5,R64,6,2014,0
